1	101	1	内科	0	0	0
1	102	1	内科	0	0	0
1	103	1	内科	0	0	0
1	104	1	内科	0	0	0
2	201	1	外科	0	0	0
2	202	1	外科	0	0	0
2	203	1	外科	0	0	0
2	204	1	外科	0	0	0
3	301	2	急诊科	0	0	0
3	302	2	急诊科	0	0	0
3	303	2	急诊科	0	0	0
3	304	2	急诊科	0	0	0
4	401	3	内科	0	0	0
4	402	3	内科	0	0	0
4	403	3	外科	0	0	0
4	404	3	外科	0	0	0
5	501	1	儿科	0	0	0
5	502	1	儿科	0	0	0
5	503	1	儿科	0	0	0
5	504	1	儿科	0	0	0
6	601	1	骨科	0	0	0
6	602	1	骨科	0	0	0
6	603	1	骨科	0	0	0
6	604	1	骨科	0	0	0
7	701	1	妇产科	0	0	0
7	702	1	妇产科	0	0	0
7	703	3	妇产科	0	0	0
7	704	3	妇产科	0	0	0
8	801	1	心内科	0	0	0
8	802	1	心内科	0	0	0
8	803	1	呼吸内科	0	0	0
8	804	1	呼吸内科	0	0	0
